diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
10.8,12.6,3.3,3.0,3.5,0.09258991947884045,61.2
10.6,12.5,2.9,2.7,3.1,0.09114765231931123,52.8
10.0,12.0,3.4,3.1,3.7,0.08201613794628053,54.9
10.0,12.1,2.9,2.7,3.2,0.08731013036718097,49.599999999999994
8.1,9.5,2.4,2.3,2.6,0.06939163498098859,51.2
11.1,12.6,3.0,2.8,3.2,0.09100670146988041,56.8
10.3,12.1,3.4,3.2,3.7,0.08700063411540901,51.4
10.3,12.1,3.2,3.0,3.5,0.08953219215271625,52.8
11.3,13.4,3.3,3.1,3.6,0.09513742071881606,56.3
13.1,14.9,3.3,3.1,3.5,0.1052572012201013,63.9
10.0,12.0,3.1,2.8,3.3,0.08451228592702904,56.3
11.7,13.9,3.0,2.8,3.3,0.10136770638590967,61.3
15.3,17.4,4.0,3.7,4.3,0.1304708097928437,68.5
9.2,10.6,2.8,2.7,3.0,0.06586856341414546,53.0
11.8,14.1,3.5,3.2,3.8,0.09711804184761152,62.9
